signal,target,mrate5,mrate10,mrate_avg,mrate_diff,red_v_rate3,red_v_rate5,red_v_rate10,rate_diff_5_10,rate_diff_3_10,rate_sum_5_10,rate_sum_3_10,ma10_20,ma5_10,ma5_20,ma_desc,ma_score
1.0,3,0.2,0.4,0.3,-0.2,31.5759,19.2303,33.4906,-14.2604,-1.9147,59.5608,36.2735,-2.0366,-2.158,-4.1506,-2.09,0.5
1.0,2,0.4,0.5,0.45,-0.1,50.263,47.9366,63.1925,-15.256,-12.9296,38.5993,21.2658,-0.1359,-0.8854,-1.02,-0.5104,3.5
1.0,2,0.6,0.6,0.6,0.0,80.1919,64.4803,64.9211,-0.4408,15.2708,47.1701,26.9946,0.0197,-1.0309,-1.0114,-0.5056,1.5
1.0,2,0.6,0.6,0.6,0.0,65.0688,68.3267,66.3682,1.9586,-1.2993,43.6324,23.3453,-0.082,-0.421,-0.5026,-0.2514,2.5
1.0,3,0.8,0.7,0.75,0.1,64.9767,81.517,70.1545,11.3625,-5.1779,50.6464,26.7278,-0.6098,-0.7502,-1.3555,-0.6793,0.5
1.0,1,0.2,0.2,0.2,0.0,30.892,20.6227,18.4701,2.1526,12.4219,54.1612,36.1567,-1.387,-1.7503,-3.113,-1.5646,0.0
1.0,2,0.4,0.2,0.3,0.2,32.4896,49.2825,19.953,29.3295,12.5366,40.4869,22.168,-2.189,-0.8561,-3.0264,-1.5194,1.0
1.0,2,0.2,0.3,0.25,-0.1,21.4186,15.4509,26.218,-10.7671,-4.7994,49.8457,35.9576,-2.8725,-1.2682,-4.1043,-2.0643,0.0
1.0,2,0.2,0.3,0.25,-0.1,34.5725,21.71,30.3062,-8.5961,4.2664,59.5462,37.3924,-2.0011,-2.9589,-4.9008,-2.4701,0.0
1.0,2,0.4,0.3,0.35,0.1,55.9445,54.6646,37.0642,17.6005,18.8804,48.829,26.0532,-2.9349,-2.5923,-5.4511,-2.7509,1.5
1.0,3,0.6,0.7,0.65,-0.1,61.3959,55.1544,68.0943,-12.9398,-6.6984,50.9536,34.4157,0.8162,-1.0639,-0.2564,-0.1253,1.0
1.0,2,0.4,0.4,0.4,0.0,72.1178,40.4397,42.3307,-1.891,29.7871,52.1832,29.2615,-0.0321,-1.161,-1.1927,-0.5965,0.5
1.0,1,0.6,0.4,0.5,0.2,79.4839,69.07,45.0155,24.0545,34.4683,43.2437,24.6808,-0.4273,-0.6255,-1.0501,-0.526,3.0
1.0,3,0.4,0.5,0.45,-0.1,60.2799,33.8245,48.3619,-14.5375,11.918,62.2466,34.928,-1.2591,-1.6112,-2.8501,-1.4318,0.0
1.0,3,0.4,0.4,0.4,0.0,33.7673,37.1215,36.4015,0.7201,-2.6342,56.6031,34.7746,-0.5964,-3.0577,-3.6359,-1.824,1.5
1.0,3,0.4,0.3,0.35,0.1,75.4973,47.1975,32.7828,14.4147,42.7145,41.9295,26.2125,4.1719,-2.7416,1.3159,0.6961,2.0
1.0,2,0.2,0.4,0.3,-0.2,0.0,22.2509,37.9514,-15.7005,-37.9514,38.0801,24.9395,-4.8332,-1.9748,-6.7126,-3.3881,0.0
1.0,3,0.2,0.4,0.3,-0.2,32.2621,22.989,40.5669,-17.5778,-8.3048,60.5028,43.1125,-5.5277,-3.1252,-8.4801,-4.2976,0.0
1.0,1,0.4,0.3,0.35,0.1,62.5807,34.3553,28.9106,5.4447,33.6701,49.6972,27.2826,-1.6241,-4.1102,-5.6676,-2.856,0.0
1.0,1,0.6,0.4,0.5,0.2,32.5378,50.769,36.978,13.791,-4.4402,58.2562,42.5128,-4.2522,-2.0017,-6.1688,-3.1128,0.0
1.0,1,0.4,0.5,0.45,-0.1,66.6459,48.8624,51.0292,-2.1668,15.6168,72.4883,53.1458,-6.3098,-4.5361,-10.5597,-5.3753,0.0
1.0,1,0.4,0.5,0.45,-0.1,33.3365,46.6815,47.9628,-1.2813,-14.6262,68.6538,33.6955,-7.809,-8.387,-15.5411,-7.9889,0.5
1.0,3,0.4,0.4,0.4,0.0,33.6877,42.0656,42.9137,-0.8481,-9.226,43.4834,25.2443,-10.2014,-2.7848,-12.7021,-6.4458,0.0
1.0,3,0.6,0.4,0.5,0.2,40.2956,66.46,41.8935,24.5665,-1.5979,44.317,24.8958,-8.4734,-2.2474,-10.5304,-5.3287,1.5
1.0,3,0.4,0.4,0.4,0.0,41.1878,42.2771,43.9496,-1.6725,-2.7618,43.3728,22.0098,0.0216,-0.4802,-0.4587,-0.2293,1.5
